Station_Name,Latitude_DD,Longitude_DD
AC0005,39.3994469680,-74.3849005457
AC0009,39.3857304275,-74.4270130135
AC0013,39.3772378350,-74.4480439029
AC0015,39.3742726580,-74.4581999128
AC0019,39.3612713278,-74.4646680091
AC0020,39.3533432121,-74.4566722308
AC0022,39.3647369692,-74.4677539877
AC0050,39.3110752972,-74.5927423071
AC0050N1,39.3112159715,-74.5925376811
AC0050S1,39.3109052059,-74.5929680296
AC0062,39.3146709188,-74.5314329221
AC0065,39.3760299697,-74.4282318536
AC0071,39.3754599210,-74.4152078762
AC0072,39.3853052725,-74.4249978528
AC0080,39.3074824372,-74.5991634500
AC0103S,39.3105555919,-74.5928359392
AC1000,39.4114907609,-74.3552985628
AC1001,39.4182883984,-74.3485257241
AC1002S,39.4069030000,-74.3601460000
AC1003,39.3804348471,-74.3932847271
AC1004,39.3978568539,-74.3699424246
AC1007,39.3729927027,-74.4040271137
AC1010S,39.3785511633,-74.3958879566
AC1012,39.3635246753,-74.4092460815
AC1012N1,39.3637936477,-74.4088451828
AC1012S1,39.3632379495,-74.4096241082
AC1013,39.3618950000,-74.4116350000
AC1013N1,39.3622510000,-74.4111960000
AC1013S1,39.3614990000,-74.4122900000
AC1015,39.3574183097,-74.4201620126
AC1015N1,39.3575750314,-74.4196730743
AC1015S1,39.3572383761,-74.4206370071
AC1016,39.3534885419,-74.4331704463
AC1016N1,39.3536709909,-74.4327027039
AC1017,39.3494279875,-74.4463456199
AC1017N1,39.3496120590,-74.4458775395
AC1017S1,39.3492541823,-74.4468235241
AC1018,39.3524705930,-74.4377601325
AC1018N1,39.3525567486,-74.4372234677
AC1018N2,39.3526829216,-74.4367350246
AC1018S1,39.3522492376,-74.4381865593
AC1018S2,39.3521169697,-74.4387074060
AC1019S,39.3502971338,-74.4441244529
AC1024,39.3408799444,-74.4664701163
AC1029S,39.3265834731,-74.4970211503
AC1029SN1,39.3267777708,-74.4965556085
AC1029SN2,39.3270187891,-74.4961104413
AC1035S,39.4121887795,-74.3543784411
AC1036,39.4085429980,-74.3586034368
AC1038,39.3262750509,-74.4977219481
AC1039,39.4023224645,-74.3647530195
AC1041S,39.3973272486,-74.3706442138
AC1042S,39.3930360000,-74.3764670000
AC1044,39.3031202522,-74.5342873099
AC1046S,39.3412255180,-74.4656917746
AC1046SN1,39.3414460408,-74.4652369764
AC1046SS1,39.3410801192,-74.4661792093
AC1046SS2,39.3408400076,-74.4666160826
AC1050S,39.3285573692,-74.4933741812
AC1050SN1,39.3288296474,-74.4929572955
AC1050SS2,39.3280631910,-74.4942076996
AC1050SS3,39.3277984711,-74.4946418915
AC1056S,39.3134660000,-74.5202490000
AC1060S,39.3058830000,-74.5309290000
AC1061S,39.3041822964,-74.5331354887
AC1062S,39.3751485060,-74.4008184461
AC1067,39.4005073605,-74.3666634957
AC1070,39.3554745965,-74.4269233806
AC1070N1,39.3556716168,-74.4264471476
AC1070S1,39.3552854846,-74.4273578960
AC1071,39.3605040000,-74.4140890000
AC1071N1,39.3608810000,-74.4137770000
AC1071S1,39.3604520000,-74.4146610000
AC1072,39.3591404117,-74.4172512894
AC1072N1,39.3593264192,-74.4167799303
AC1072S1,39.3588916384,-74.4176720287
AC1073,39.3565063266,-74.4227435068
AC1073N1,39.3566587749,-74.4222520082
AC1073S1,39.3563323831,-74.4232334209
AC1073S2,39.3561476321,-74.4236941869
AC1074,39.3549078007,-74.4282571135
AC1074N1,39.3551187946,-74.4278198204
AC1074S1,39.3548400513,-74.4286588215
AC1075,39.3530789645,-74.4349704407
AC1075N1,39.3530989174,-74.4344446952
AC1075S1,39.3530594617,-74.4354938701
AC1075S2,39.3529593598,-74.4359977918
AC1080,39.3466127412,-74.4533502583
AC1081,39.3515154234,-74.4403548234
AC1081N1,39.3516559881,-74.4398526138
AC1081S1,39.3513765852,-74.4408301312
AC1082,39.3539200931,-74.4321074770
AC1082N1,39.3541088973,-74.4316079634
AC1083,39.3560087608,-74.4249815949
AC1083S1,39.3559371937,-74.4254963523
AC1084,39.3568375192,-74.4214182749
AC1084N1,39.3570740019,-74.4209864623
AC1084S1,39.3567433361,-74.4219328496
AC1085,39.3438697006,-74.4596240949
AC1085N1,39.3440374913,-74.4591738445
AC1085N2,39.3442759999,-74.4587085931
AC1085S1,39.3436746528,-74.4601004950
AC1085S2,39.3434604116,-74.4605476445
AC1086,39.3075493207,-74.5287636570
AC1087,39.3151885461,-74.5175992810
AC1088,39.3188818656,-74.5106337383
AC1088N1,39.3190778781,-74.5100791814
AC1088S1,39.3187296089,-74.5111496097
AC1089,39.3340560031,-74.4817860225
AC1089N1,39.3342420243,-74.4813213940
AC1089N2,39.3344420684,-74.4808437776
AC1089S1,39.3338722328,-74.4822469458
AC1089S2,39.3336089665,-74.4826750623
AC1090,39.3845520871,-74.3875364788
AC1091,39.3926400227,-74.3768924505
AC1091N1,39.3929125794,-74.3764960069
AC1091S1,39.3923510677,-74.3772677595
AC1092,39.4082150802,-74.3589486431
AC1094,39.3112420682,-74.5236473868
AC1095,39.3231857357,-74.5037768227
AC1096,39.3305799340,-74.4891788525
AC1096N1,39.3307866776,-74.4887190694
AC1096S1,39.3303945561,-74.4896282934
AC1097,39.3371354465,-74.4746197540
AC1097N1,39.3373554019,-74.4741803927
AC1097N2,39.3375898325,-74.4737164558
AC1097S1,39.3369357309,-74.4750748284
AC1097S2,39.3367300283,-74.4755470526
AC1098,39.3769063891,-74.3981373425
AC1099,39.3890044376,-74.3814981278
AC1116S,39.3968890000,-74.3712600000
AC1120S,39.3921610000,-74.3775740000
AC1133,39.3800570205,-74.3939111946
AC1140S,39.3297250000,-74.4908400000
AC1142S,39.3272560000,-74.4955490000
AC1156S,39.3415140000,-74.4648400000
AC1177S,39.3108434792,-74.5921066334
AC1183S,39.3581367615,-74.4186186034
AC1184S,39.3560210661,-74.4235853820
AC1185S,39.3559294421,-74.4256051147
AC1186S,39.3543359529,-74.4301273254
AC1187S,39.3543051905,-74.4309988761
AC1188S,39.3529118992,-74.4361508959
AC1189S,39.3526642998,-74.4364141849
AC1190S,39.3518474156,-74.4387734140
AC1191S,39.3517815305,-74.4395675643
AC1192S,39.3513478512,-74.4408784985
AC1193S,39.3511643232,-74.4414559902
AC1194S,39.3508556003,-74.4419983382
AC1195,39.3506881638,-74.4429461658
AC1195N1,39.3508342593,-74.4424632455
AC1195S1,39.3505257610,-74.4434481004
AC1198S,39.3488980000,-74.4478360000
AC1199S,39.3473120000,-74.4515630000
AC1201S,39.3462710000,-74.4539220000
AC1206S,39.3425460000,-74.4624060000
AC1206SN1,39.3428110000,-74.4621830000
AC1206SS1,39.3424620000,-74.4631160000
AC1207S,39.3429250000,-74.4616410000
AC1228,39.3421684119,-74.4635863645
AC1229,39.3454232676,-74.4561135285
AC1229N1,39.3455860380,-74.4556119124
AC1229N2,39.3457691516,-74.4551605317
AC1229S1,39.3451864675,-74.4565556452
AC1229S2,39.3449834317,-74.4569966305
AC1230,39.3479628972,-74.4499322519
AC1231,39.4117401242,-74.3548744271
AC1236,39.3276340000,-74.4949170000
AC1237,39.3278240000,-74.4944940000
CC0001,39.2929128952,-74.5655058069
CC0004,39.2827950000,-74.5796370000
CC0005,39.2815090000,-74.5825390000
CC0008,39.2707280000,-74.6039670000
CC0010,39.2428890000,-74.6326790000
CC0016,39.1574130000,-74.6977250000
CC0025,39.1158560090,-74.7212788092
CC0026,39.1114360000,-74.7148080000
CC0028,39.1064430000,-74.7241260000
CC0030,39.1017810000,-74.7219480000
CC0031,39.1047660000,-74.7275310000
CC0035,39.0952160000,-74.7273070000
CC0036,39.0927590000,-74.7292510000
CC0038,39.0926270000,-74.7315060000
CC0042,39.0814410000,-74.7396630000
CC0045,39.0674980000,-74.7530910000
CC0046,39.0653500000,-74.7544420000
CC0047,39.0639320000,-74.7555460000
CC0049,39.0585034988,-74.7604763845
CC0050,39.0585340000,-74.7643110000
CC0053,39.0545610000,-74.7628830000
CC0061,39.0173150000,-74.7939320000
CC0062,39.0257750000,-74.7968620000
CC0063,39.0209830000,-74.8003870000
CC0065,39.0133920000,-74.7985130000
CC0066,39.0058420000,-74.8033340000
CC0068,39.0018690000,-74.8095860000
CC0071,38.9968310000,-74.8217790000
CC0072,38.9955050000,-74.8246350000
CC0075,38.9914520000,-74.8287190000
CC0077,38.9868460000,-74.8414950000
CC0080,38.9795740000,-74.8448620000
CC0084,38.9783800000,-74.8482440000
CC0086,38.9578640000,-74.8745010000
CC0087,38.9549260000,-74.8772790000
CC0093,39.2882213058,-74.6273071687
CC0094,39.1550077488,-74.7034174518
CC0096,38.9777530000,-74.8373700000
CC0098,38.9720531378,-74.8419612419
CC0099,38.9466108025,-74.8948600678
CC0100,38.9453910000,-74.9027450000
CC0102,39.1946805391,-74.6631896563
CC0105,39.1587520000,-74.6992660000
CC0106,38.9465010000,-74.9035900000
CC0108,39.0071520000,-74.7998650000
CC0115,38.9482650000,-74.9063790000
CC0116,38.9538360000,-74.9052010000
CC0117,38.9537040000,-74.8886310000
CC0118,38.9497090000,-74.8916250000
CC0119,39.0026730000,-74.8220180000
CC1003S,39.2848673623,-74.5537932108
CC1004S,39.2805313301,-74.5581117938
CC1006S,39.2762690000,-74.5636270000
CC1006SN1,39.2765720000,-74.5631140000
CC1006SS1,39.2760660000,-74.5642300000
CC1007S,39.2754496772,-74.5659506458
CC1009S,39.2742451576,-74.5690859597
CC1010S,39.2732965053,-74.5721734371
CC1014S,39.2690059007,-74.5806031757
CC1015S,39.2669444995,-74.5836999377
CC1018S,39.2607948882,-74.5923869674
CC1019S,39.2586433245,-74.5951372181
CC1020S,39.2566602813,-74.5976510163
CC1021S,39.2543599853,-74.6005039344
CC1051,39.0857622167,-74.7234621549
CC1090S,39.0028320000,-74.7862940000
CC1094S,38.9907210000,-74.7981410000
CC1101,39.2890008504,-74.5514799136
CC1101N1,39.2894106071,-74.5514116729
CC1101S1,39.2885904065,-74.5515370284
CC1103,39.2742697113,-74.5691610101
CC1103N1,39.2744885379,-74.5685215867
CC1103S1,39.2740902354,-74.5696288238
CC1104,39.2488712922,-74.6069292049
CC1105,39.2232582853,-74.6322934582
CC1106,39.1969474571,-74.6508893406
CC1107,39.1588270720,-74.6836733476
CC1107N1,39.1591578611,-74.6833727108
CC1107S1,39.1584736260,-74.6839382617
CC1108,39.1550425183,-74.6878292230
CC1111,39.0980749465,-74.7112370040
CC1111N1,39.0984184505,-74.7109596655
CC1111S1,39.0977235181,-74.7115139983
CC1112,39.0598798791,-74.7474604102
CC1116,39.0026639500,-74.7867934600
CC1116N1,39.0030623300,-74.7868986600
CC1116S1,39.0022451300,-74.7865685900
CC1118S,38.9375380000,-74.8907780000
CC1119,38.9857311185,-74.8034863297
CC1119N1,38.9859899690,-74.8030765999
CC1119S1,38.9854607585,-74.8038710786
CC1120,38.9831232531,-74.8071697504
CC1121,38.9791918712,-74.8126897203
CC1121N1,38.9794767756,-74.8122924089
CC1121S1,38.9789406996,-74.8131009085
CC1122,38.9756457284,-74.8185316746
CC1122N1,38.9759002993,-74.8181237533
CC1122S1,38.9754046035,-74.8189342355
CC1123,38.9694971036,-74.8283883830
CC1123N1,38.9697604688,-74.8279737110
CC1123S1,38.9692277426,-74.8287755487
CC1124,38.9632662262,-74.8370528218
CC1125,38.9567699066,-74.8455837538
CC1127S,38.9350000000,-74.8962530000
CC1127SN1,38.9354304600,-74.8956362100
CC1127SS1,38.9350195200,-74.8967280300
CC1129,38.9299576174,-74.9121053437
CC1130,38.9289984484,-74.9191065864
CC1132S,38.9320066323,-74.9048149945
CC1133,38.9287287679,-74.9232037549
CC1134,38.9286800659,-74.9267171610
CC1134E1,38.9285218880,-74.9262810342
CC1134W1,38.9288490156,-74.9272043355
CC1135,38.9287285150,-74.9312155740
CC1136,38.9283628352,-74.9331964390
CC1137,38.9446056985,-74.9705719935
CC1138S,38.9297159198,-74.9146313331
CC1140S,38.9286737571,-74.9226801258
CC1141S,38.9287740000,-74.9292280000
CC1142S,38.9286570000,-74.9321860000
CC1143S,38.9308340000,-74.9406790000
CC1144S,38.9309240000,-74.9510110000
CC1145S,38.9305340000,-74.9614390000
CC1146S,38.9315590000,-74.9651300000
CC1147S,38.9338120000,-74.9687700000
CC1148,38.9379590357,-74.9710431701
CC1154,38.9561966340,-74.8462740194
CC1156,39.0918139944,-74.7161837949
CC1156N1,39.0920785159,-74.7157904868
CC1156S1,39.0915163250,-74.7165567091
CC1160,39.2778464647,-74.5613139209
CC1160N1,39.2781248867,-74.5609211770
CC1160S1,39.2775720631,-74.5616966360
CC1160S3,39.2769184131,-74.5623690600
CC1162,39.2592770000,-74.5943042118
CC1163,39.1959923818,-74.6520544678
CC1166,39.1420697583,-74.6976336306
CC1166N1,39.1424077791,-74.6973194605
CC1166S1,39.1417236939,-74.6979238638
CC1168,39.1065101429,-74.7048292332
CC1169,39.0547640496,-74.7513928336
CC1170,39.0438538484,-74.7609814384
CC1170N1,39.0442143115,-74.7607042848
CC1170S1,39.0435141099,-74.7612753764
CC1171,39.0364842423,-74.7671852671
CC1171N1,39.0368375817,-74.7668900571
CC1171S1,39.0361195717,-74.7673859050
CC1172,38.9363702204,-74.8933758505
CC1173,38.9310073077,-74.9639848331
CC1173N1,38.9311892873,-74.9644856215
CC1173S1,38.9308701792,-74.9634880798
CC1174,38.9326873857,-74.9667864934
CC1174N1,38.9328290693,-74.9672814868
CC1174S1,38.9324798822,-74.9663312709
CC1175,38.9736316468,-74.8219140659
CC1175N1,38.9738930942,-74.8215034405
CC1175S1,38.9733823371,-74.8223437258
CC1176,38.9315318813,-74.9064319455
CC1176N1,38.9317109710,-74.9059527182
CC1176S1,38.9314227319,-74.9069441687
CC1177,39.1250098417,-74.7069836129
CC1177N1,39.1253763225,-74.7067510436
CC1177S1,39.1246682568,-74.7072357573
CC1178,39.0715462725,-74.7382360115
CC1179,39.0469857809,-74.7585603641
CC1179N1,39.0473464194,-74.7582918895
CC1179S1,39.0465838648,-74.7588320749
CC1180,38.9886811866,-74.8000556422
CC1180N1,38.9889942230,-74.7997853380
CC1180S1,38.9882615638,-74.8003071598
CC1181,39.2831767192,-74.5554126119
CC1181N1,39.2834879981,-74.5550566360
CC1181S1,39.2828701239,-74.5557579678
CC1182,39.2682209422,-74.5818322424
CC1183,39.2553306375,-74.5991135324
CC1184,39.2319057088,-74.6246904570
CC1185,39.1625781672,-74.6826937794
CC1186,39.1488023215,-74.6928170883
CC1187,39.1379934395,-74.6999312409
CC1188,39.1304661189,-74.7040258775
CC1189,39.1017422893,-74.7080618480
CC1189N1,39.1020681635,-74.7077106411
CC1189S1,39.1013860376,-74.7082987492
CC1190,39.0805716579,-74.7289039836
CC1190N1,39.0808727921,-74.7285254047
CC1190S1,39.0802638209,-74.7292349979
CC1191,39.0763374081,-74.7336487381
CC1192,39.0642112519,-74.7443818139
CC1192N1,39.0645717432,-74.7441037659
CC1192S1,39.0638665781,-74.7446401006
CC1193,39.0514077929,-74.7545716237
CC1193N1,39.0517441341,-74.7542517956
CC1193S1,39.0510538645,-74.7548427494
CC1195,38.9664229034,-74.8330179345
CC1196,38.9599786055,-74.8414105690
CC1198,38.9694060000,-74.9704100000
CC1199,38.9753540000,-74.9692500000
CC1200,38.9883090000,-74.9662580000
CC1201,38.9963740000,-74.9635830000
CC1202,38.9986230000,-74.9625770000
CC1203,39.0002110000,-74.9613980000
CC1204,39.0065580000,-74.9590540000
CC1210,38.9964063611,-74.7906740158
CC1211,38.9923107998,-74.7964688356
CC1211N1,38.9925935512,-74.7960496433
CC1211S1,38.9920159731,-74.7968185803
CC1212S,38.9305202037,-74.9100331837
CC1215S,38.9334930000,-74.9003640000
CC1215SN1,38.9335630000,-74.9001640000
CC1215SN2,38.9336410000,-74.8996000000
CC1215SS1,38.9334210000,-74.9005730000
CC1229S,39.1053936907,-74.7054750782
CC1232S,39.1027157321,-74.7073055897
CC1233S,39.1013505797,-74.7083738366
CC1292S,38.9861406389,-74.8028970242
CC1293S,38.9852673860,-74.8041880458
CC1294S,38.9848601975,-74.8049095659
CC1295S,38.9838601867,-74.8062736061
CC1296S,38.9826975046,-74.8078370658
CC1300S,38.9797683493,-74.8118051765
CC1301S,38.9789162530,-74.8129616726
CC1302S,38.9785246710,-74.8136568668
CC1306S,38.9761441506,-74.8176628476
CC1307S,38.9753787866,-74.8189664433
CC1325S,39.1495129109,-74.6923417383
CC1326S,39.1483111804,-74.6933046492
CC1351S,38.9998729981,-74.7866421890
CC1355S,38.9968418391,-74.7900155912
CC1356S,38.9958679394,-74.7915086478
CC1361S,38.9932083633,-74.7952138745
CC1362S,38.9918353749,-74.7970853294
CC1363S,38.9912500000,-74.7972900000
CC1364S,38.9900550000,-74.7985520000
CC1365S,38.9895478312,-74.7991598457
CC1366S,38.9882945934,-74.8002919606
CC1368S,39.2874726715,-74.5522865416
CC1369S,39.2746286574,-74.5677329717
CC1370S,39.2903130852,-74.5512793315
CC1371S,39.2859847201,-74.5530744743
CC1372S,39.2840446681,-74.5547351374
CC1373S,39.2819159845,-74.5564642012
CC1374S,39.2823316400,-74.5562678554
CC1375S,39.2814473815,-74.5568608894
CC1376S,39.2794895608,-74.5590166741
CC1377S,39.2787403213,-74.5595493592
CC1378S,39.2778748221,-74.5613616312
CC1417S,38.9572833779,-74.8450065689
CC1749,39.2766760000,-74.5632220000
MC0001,40.4395234740,-74.2015018521
MC0002,40.4527378791,-74.1713586643
MC0003,40.4565537894,-74.1335542412
MC0005,40.4600977508,-74.0057404516
MC0007,40.4487191860,-73.9981948777
MC0008S,40.4444631658,-74.1106687217
MC0009,40.4253047280,-73.9863034303
MC0010S,40.4238721240,-74.0602611877
MC0011S,40.4079957994,-73.9937020513
MC0013S,40.4037790461,-73.9847793283
MC0015S,40.1847970928,-74.0411217440
MC0016S,40.1787302689,-74.0341380753
MC0017,40.3381071116,-73.9787652194
MC0025S,40.4454539585,-74.1129342732
MC0027S,40.4232645178,-74.0589453614
MC0029S,40.4080909010,-73.9928267103
MC0030,40.1851130000,-74.0229140000
MC0031,40.1785728309,-74.0337028887
MC0031E1,40.1786214832,-74.0331621408
MC0031W1,40.1786298561,-74.0342274098
MC0032S,40.1875495870,-74.0385797290
MC0033S,40.1787799432,-74.0332083289
MC0037,40.1930322803,-74.0304199805
MC0038,40.1861755161,-74.0397952806
MC0038N1,40.1864989800,-74.0395291200
MC0038S1,40.1858525419,-74.0400958269
MC0041S,40.4035719273,-73.9845416388
MC0044,40.4449775072,-74.1119319466
MC0044N1,40.4452145972,-74.1123630928
MC0044S1,40.4447634615,-74.1114771238
MC0045,40.4234322465,-74.0595923910
MC0045N1,40.4236231965,-74.0600510876
MC0045S1,40.4232807486,-74.0590819089
MC0046,40.4403432290,-74.0935627384
MC0049,40.4079505439,-73.9932702655
MC0049E1,40.4080650224,-73.9927676614
MC0049W1,40.4080399755,-73.9938120764
MC0050,40.4036136783,-73.9847513365
MC0050N1,40.4039682924,-73.9850043533
MC0050S1,40.4034262659,-73.9842615362
MC0052,40.4090080500,-73.9976719248
MC0064,40.1048379558,-74.0374458326
MC1004,40.4694080315,-73.9946126232
MC1006,40.4596260111,-73.9885819514
MC1008S,40.2199166343,-73.9989961538
MC1010,40.4191993420,-73.9803458897
MC1013,40.3622814044,-73.9714540943
MC1013N1,40.3626656054,-73.9714505246
MC1013S1,40.3618663168,-73.9714898318
MC1015S,40.2746960000,-73.9837950000
MC1016,40.3323342545,-73.9728215299
MC1017S,40.2547003433,-73.9896036137
MC1018,40.3200680936,-73.9750786409
MC1018N1,40.3204641301,-73.9751462686
MC1018S1,40.3196774151,-73.9752002055
